User,RecommendFundCode
0,6771
0,6903
0,6659
0,6932
0,7192
0,7096
0,3533
0,6898
0,6966
0,6906
0,6227
1,6858
1,7199
1,6533
1,6885
1,6854
1,6489
1,6780
1,7427
1,6813
1,6644
1,5497
1,7191
1,160925
1,6316
1,6701
1,7001
1,6364
1,6402
1,6784
1,5680
1,7385
1,6965
1,3297
1,6955
1,6868
1,7169
1,6771
1,6005
1,7042
1,6357
1,6921
1,6933
1,6052
1,6787
1,6536
1,7030
1,7271
1,6227
1,6735
1,6610
1,6943
1,6834
1,6826
1,6935
1,6999
1,6749
1,7043
1,6975
1,7358
1,6989
1,7039
1,6870
1,6952
1,6913
1,7148
1,6006
1,6692
1,6522
1,6962
1,6345
1,6855
1,7096
1,7019
1,1900
1,6786
1,6832
1,6250
1,6218
1,6822
1,7095
1,7089
1,6535
1,6785
1,6509
1,6803
1,6168
1,7058
1,7034
1,6849
1,7085
1,7048
1,6179
1,6574
1,6796
1,7100
1,6714
1,6451
1,7522
1,6925
1,6874
1,6833
1,7111
1,6839
1,6391
1,6998
1,6271
1,6155
1,5513
1,7063
1,6973
1,6605
1,6923
1,7010
1,7397
1,7007
1,6768
1,6121
1,6982
1,6432
1,7027
1,6734
1,6523
1,7099
1,6600
1,6500
1,161913
1,6
1,6875
1,6928
1,6765
1,6879
1,6700
1,6721
1,7046
1,7072
1,6915
1,6931
1,6254
1,6871
1,6944
1,7031
1,7097
1,6919
1,5350
1,6549
1,7075
1,6961
1,6624
1,6477
1,6167
1,2063
1,6449
1,6898
1,4960
1,6670
1,6014
1,6781
1,7020
1,6750
1,6835
1,7166
1,6823
1,6699
1,6810
1,6431
1,6207
1,6976
1,7040
1,6899
1,6490
1,7011
1,6881
1,6889
1,161912
1,488
1,6942
1,6682
1,6818
1,6760
1,6601
1,6985
1,6510
1,6941
1,7023
1,6930
1,6603
1,7073
1,7302
1,6208
1,3696
1,6766
1,6726
1,6890
1,7165
1,6501
1,6698
1,5914
1,6969
1,6974
1,6994
1,7026
1,6270
1,7359
1,6848
1,7035
1,6932
1,6916
1,6809
1,7038
1,6199
1,6966
1,6867
1,6929
1,6934
1,7017
1,501063
1,6947
1,7309
1,6751
1,7036
1,6903
1,6051
1,6615
1,6693
1,6887
1,6643
1,6840
1,7000
1,7006
1,6819
1,3275
1,6604
1,6990
1,6392
1,7041
1,6229
1,7200
1,6122
1,7130
1,6156
1,6783
1,6365
1,6857
1,6658
1,6924
1,6983
1,6948
1,2994
1,7435
1,519335
1,6764
1,6616
1,6710
1,6824
1,7448
1,6906
1,6659
1,5970
1,6152
1,7328
1,6557
1,6992
1,7373
1,6736
1,6815
1,7024
1,6893
1,6852
1,2757
1,166025
1,6665
1,6349
1,6673
1,7192
1,7078
1,6907
1,6797
1,7294
1,7495
1,6937
1,6637
1,7188
1,7088
1,6544
1,6228
1,6153
1,7326
1,6896
1,6776
1,6912
1,3276
1,7094
1,6527
1,6773
1,6202
1,6911
1,7045
1,6804
1,6938
1,4117
1,6666
1,7233
1,501069
1,6798
1,7098
1,501311
1,7292
1,6841
1,7273
1,6613
1,6817
1,7404
1,6627
1,6383
1,6672
1,6429
1,6793
1,7235
1,6794
1,7387
1,6957
1,6350
1,6908
1,6626
1,6712
1,7386
1,7101
1,7413
1,6384
1,7047
1,6636
1,6936
1,5856
1,6650
1,7176
1,6631
1,6746
1,7210
1,7293
1,6850
1,4955
1,3532
1,6528
1,519334
1,7208
1,5029
1,7021
1,5855
1,6614
1,6777
1,7084
1,7197
1,6713
1,6257
1,3533
1,7215
1,6314
1,6939
1,4632
1,6851
1,7044
1,6837
1,4954
1,6595
1,6865
1,7193
1,6745
1,4736
1,6481
1,6632
1,7209
1,6351
1,6720
1,6791
1,6526
1,6013
1,6901
1,346
1,7057
1,1289
1,6884
1,6827
1,6356
1,6452
1,7022
1,7198
1,2756
1,5084
1,6790
1,6805
1,6358
1,6359
1,6917
1,6573
1,7521
1,3822
1,6789
1,6914
1,6709
1,501064
1,6902
1,6593
1,6774
1,7079
1,7259
1,6755
1,6401
1,7446
1,7049
1,4853
1,6352
1,6799
1,7405
1,7146
1,6315
1,7155
1,5514
1,5585
1,6825
1,3823
1,6800
1,2604
1,6281
1,6897
1,1695
1,3980
1,7147
1,6814
1,161005
1,6556
1,6816
1,6856
1,6594
2,6594
2,501064
2,6522
2,6168
2,6632
2,3823
2,6975
2,7096
2,7043
2,4736
2,6989
2,6179
2,6155
2,7111
2,6833
2,7215
2,5711
2,6595
2,3533
2,6605
2,6903
2,6791
2,6822
2,6837
2,6790
2,7007
2,6865
2,6391
2,7089
2,7084
2,6999
2,6851
2,6692
2,6998
2,6870
2,6973
2,6923
2,7017
2,2504
2,3755
2,7191
2,6712
2,7019
2,6489
2,7413
2,7038
2,6982
2,6384
2,6698
2,6832
2,6501
2,6933
2,7047
2,7073
2,6948
2,6218
2,7435
2,6746
2,6156
2,6604
2,4955
2,6392
2,7210
2,6535
2,6849
2,5856
2,6351
2,6957
2,2837
2,591
2,6714
2,7208
2,6768
2,4632
2,481006
