User,RecommendFundCode
6252,7045
6303,7045
6302,7045
6525,7045
6408,7045
6540,7045
6551,7045
6546,7045
6529,7045
6545,7045
7938,7094
7955,7094
7961,7094
7966,7094
9113,7094
8513,7094
9107,7094
9226,7094
8015,7094
9240,7094
9291,6896
9747,6896
9382,6896
9892,6896
9751,6896
9427,6896
9902,6896
9911,6896
9969,6896
9900,6896
7770,7088
7775,7088
7771,7088
8125,7088
8356,7088
8800,7088
8861,7088
8630,7088
8829,7088
8817,7088
2703,6315
2729,6315
2968,6315
2730,6315
2732,6315
3026,6315
3025,6315
2970,6315
2733,6315
2972,6315
6113,7147
6201,7147
9477,7147
6265,7147
6273,7147
9653,7147
9625,7147
9473,7147
9480,7147
9479,7147
7099,7198
7105,7198
7115,7198
7107,7198
7194,7198
7314,7198
7304,7198
7301,7198
7109,7198
7362,7198
7099,7079
7105,7079
7109,7079
7115,7079
7107,7079
7301,7079
7304,7079
7314,7079
7362,7079
7194,7079
7099,7022
7105,7022
7107,7022
7115,7022
7124,7022
7194,7022
7198,7022
7201,7022
7301,7022
7314,7022
7099,7446
7105,7446
7115,7446
7107,7446
7124,7446
7201,7446
7198,7446
7194,7446
7314,7446
7301,7446
7829,7057
7842,7057
7938,7057
7856,7057
7851,7057
8020,7057
8513,7057
7955,7057
8015,7057
7896,7057
3256,7146
3810,7146
3909,7146
4065,7146
3862,7146
4063,7146
4445,7146
4172,7146
4076,7146
4153,7146
2703,6573
2729,6573
2972,6573
2968,6573
2970,6573
3026,6573
3025,6573
2974,6573
2971,6573
2997,6573
9026,7521
9031,7521
9507,7521
9508,7521
9032,7521
9552,7521
9588,7521
9590,7521
9617,7521
9545,7521
1216,6401
1222,6401
1235,6401
1228,6401
1246,6401
2025,6401
2040,6401
1999,6401
2083,6401
2082,6401
7220,6897
7332,6897
7362,6897
7343,6897
7337,6897
7931,6897
7928,6897
7980,6897
7909,6897
7612,6897
6252,7405
6302,7405
6279,7405
6331,7405
6303,7405
6525,7405
6546,7405
6545,7405
6408,7405
6529,7405
7099,7095
7105,7095
7109,7095
7115,7095
7107,7095
7198,7095
7199,7095
7301,7095
7314,7095
